ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,,,,
88,Module 3. Sáng tạo nội du,3,3,"Mini-project ""Công cụ đổi t�"" được dùng để minh họa cho quy ",Quy trình rà soát và đánh giá n,Quy trình sản xuất nội ,Quy trình phát triển phần mềm (Thiết kế - Cài đ,Quy trình áp dụng giấy phép b�,C,Quy trình phát triển phần mềm (Thiết kế - Cài đ,,,,,,,,,,,,,,,,,,,
89,Module 3. Sáng tạo nội du,3,3,"Mục ti�""Thuyết phục/Bán"" của nội dung số hướng đ�","Mang lại tiếng cười, sự","Cung cấp kiến thức, hư","Kêu gọi mua hàng, đăng ký ",Tạo dựng hình ảnh và giá trị cho ,C,"Kêu gọi mua hàng, đăng ký ",,,,,,,,,,,,,,,,,,,
90,Module 3. Sáng tạo nội du,3,4,"""Thói quen s"" (Digital Habits) của đối tượng đề cập","Sở thích, giá trị, tí","� tu�i, gi�i t�nh, n�i sinh s�ng","Các nền tảng mạng xã hội họ sử dụng, thời gian online, lo�","Mức thu nhập, trình độ",C,"Các nền tảng mạng xã hội họ sử dụng, thời gian online, lo�",,,,,,,,,,,,,,,,,,,
91,Module 3. Sáng tạo nội du,3,4,"Lên lịch bài đăng chi tiết, phân công nhiệm vụ thuộc loại kế",Kế hoạch tr�,Kế hoạch trung hạn (Quý,Kế hoạch dài hạ,Kế hoạch ngắn hạn (Tu,D,Kế hoạch ngắn hạn (Tu,,,,,,,,,,,,,,,,,,,
92,Module 3. Sáng tạo nội du,3,4,"�nh d�ng n�o ph� h�p � truy�n t�i th�ng tin chi ti�t, chuy�n s�u v� t�t cho SEO?",Livestream,"Video ngắn (TikTok, Reel",Carousel/Slide (Instagram),Bài viết (Blog Post/Articl,D,Bài viết (Blog Post/Articl,,,,,,,,,,,,,,,,,,,
93,Module 3. Sáng tạo nội du,3,4,"Yếu t""Truyền cảm "" của một nội dung có giá trị nhằm ",Cung cấp thông tin chính xác và khá,Giải quyết một vấn đề cụ th�,Bán một sản phẩm hoặ,"Thúc đẩy tư duy, tạo động lực, thay ",D,"Thúc đẩy tư duy, tạo động lực, thay ",,,,,,,,,,,,,,,,,,,
94,Module 3. Sáng tạo nội du,3,4,Hemingway Editor là công cụ hỗ trợ cho ,Chỉnh sửa video và âm,Kiểm tra lỗi chính tả và ,Thiết kế hình ảnh v�,"Giúp câu văn trở nên rõ ràng, súc",D,"Giúp câu văn trở nên rõ ràng, súc",,,,,,,,,,,,,,,,,,,
95,Module 3. Sáng tạo nội du,3,4,"Nội dun""cần cập "" là nội dung như th�",Nội dung mới được sản xuất trong,"Nội dung có giá trị bền vững, khô","Nội dung chứa thông tin sai lệch, cầ","Có thông tin, số liệu, hoặc xu hướng ",D,"Có thông tin, số liệu, hoặc xu hướng ",,,,,,,,,,,,,,,,,,,
96,Module 3. Sáng tạo nội du,3,4,Yếu tố nào cần có trong dàn ý chi tiết cho n�,Danh sách các công cụ sẽ ,"Mô tả cảnh quay, lời thoại,","Bảng màu, font chữ, kích thước","Tiêu đề chính, các phần, các ý nhỏ",D,"Tiêu đề chính, các phần, các ý nhỏ",,,,,,,,,,,,,,,,,,,
97,Module 3. Sáng tạo nội du,3,4,"Kỹ thu�""C�"" (Trim/Cut) trong biên tập nội dung l",Thêm các hiệu ứng đặc biệt v,Kết hợp nhiều đoạn nội dung l,Chuyển đổi nội dung sang địn,"Loại bỏ những phần không cần thiết, lặp l�",D,"Loại bỏ những phần không cần thiết, lặp l�",,,,,,,,,,,,,,,,,,,
98,Module 3. Sáng tạo nội du,3,4,Hầu hết mọi tác phẩm sáng tạo trên thế giới số được bảo,Chỉ khi tác phẩm đó được bán và t�,Sau khi tác giả đăng ký với cơ quan ,Sau khi tác phẩm được công ,"Ngay từ khi ra đời, dù có ghi chú h",D,"Ngay từ khi ra đời, dù có ghi chú h",,,,,,,,,,,,,,,,,,,
99,Module 3. Sáng tạo nội du,3,4,"i�u ki�n ""NonCommercial"" (Phi thương mại) trong giấy phép Creative Commons có ngh�",Phải chia sẻ tác phẩm phái sinh với cùn,Không được bán lại tác,Không được thay đổi hay chỉnh s�,Không được sử dụng tác phẩm cho các mục ,D,Không được sử dụng tác phẩm cho các mục ,,,,,,,,,,,,,,,,,,,
100,Module 3. Sáng tạo nội du,3,4,Việc ghi nguồn đầy đủ ngay cả khi giấy phép không yêu c�,Một cách để quảng cáo cho nguồn g,Một việc làm không cần thiết và t�,Một yêu cầu bắt buộc củ,Một hành động chuyên nghiệp và thể hiệ,D,Một hành động chuyên nghiệp và thể hiệ,,,,,,,,,,,,,,,,,,,
101,Module 3. Sáng tạo nội du,3,4,"""�u v�o"" (Input) và""�u ra"" (Output) cần được xác định trong giai đoạn nào của quy trình ph�",Bảo t,Cài đ,Kiểm t,Thiết ,D,Thiết ,,,,,,,,,,,,,,,,,,,
102,Module 3. Sáng tạo nội du,3,4,"Tại sao cần kiểm thử phần mềm với các kịch bản khác nhau (chạy đú",� vi�t t�i li�u h��ng d�n s� d�ng chi ti�t h�n,� l�m cho qu� tr�nh ki�m th� tr� n�n ph�c t�p h�n,� ch�ng t� r�ng ph�n m�m kh�ng c� l�i n�o,� �m b�o ph�n m�m ho�t �ng �n �nh trong nhi�u t�nh hu�ng,D,� �m b�o ph�n m�m ho�t �ng �n �nh trong nhi�u t�nh hu�ng,,,,,,,,,,,,,,,,,,,
103,Module 3. Sáng tạo nội du,3,4,"Theo tài liệu, đâu là một bước chuẩn bị quan trọng khi tham gia vào lực lượng lao �",Có kinh nghiệm làm việc tại các c�,Có bằng cấp đại học,Thành thạo ít nhất hai ngo,Nắm vững kiến thức và k,D,Nắm vững kiến thức và k,,,,,,,,,,,,,,,,,,,
104,Module 3. Sáng tạo nội du,3,4,"Hoạt động nào được đề xuất để củn""Phân tích mục tiêu và đ�""?",Dựng một video ,Viết một bài blog hoàn,Thiết kế một infog,Thực hành xây dựng Persona đ,D,Thực hành xây dựng Persona đ,,,,,,,,,,,,,,,,,,,
105,Module 3. Sáng tạo nội du,3,4,Yếu tố nào KHÔNG phải là nguồn lực cần cân nhắc khi lựa,Công cụ s�,Thời gi,Kỹ n�,Mức độ nổi tiếng của ng�,D,Mức độ nổi tiếng của ng�,,,,,,,,,,,,,,,,,,,
106,Module 3. Sáng tạo nội du,3,4,"Khi sản xuất nội dung, việc đảm bảo thiết kế phù hợp kích thước từng nề",Khả năng quay/chỉnh sử,Khả năng viết nội dung ,Khả năng sáng tạo kịch b,Khả năng thiết kế hình ả,D,Khả năng thiết kế hình ả,,,,,,,,,,,,,,,,,,,
107,Module 3. Sáng tạo nội du,3,4,So sánh việc rà soát nội dung với việc sắp xếp một kho hàng,� b�n thanh l� h�ng t�n kho,� lo�i b� t�t c� h�ng h�a ci,� nh�p th�m nhi�u h�ng h�a m�i,� t�i �u h�a vi�c s� d�ng t�i nguy�n,D,� t�i �u h�a vi�c s� d�ng t�i nguy�n,,,,,,,,,,,,,,,,,,,
108,Module 3. Sáng tạo nội du,3,4,"Kỹ thu�""làm nổi "" (nhấn mạnh) nội dung cũ trong một dàn ý mới c�",Giữ nguyên văn thông tin đó không ,Viết lại hoàn toàn thông,Lược bỏ thông tin đó khỏi n�,"Chú trọng, làm rõ một thông tin quan trọng đã",D,"Chú trọng, làm rõ một thông tin quan trọng đã",,,,,,,,,,,,,,,,,,,
109,Module 3. Sáng tạo nội du,3,4,"Việc cập nhật dữ liệu, hình ảnh, ví dụ cho phù hợp với thời đi",Thay đổi hoàn toàn mục tiêu củ,Làm cho nội dung dài hơn và chi ti,Tăng chi phí sản xuất n�,"Tránh cung cấp thông tin lỗi thời, ",D,"Tránh cung cấp thông tin lỗi thời, ",,,,,,,,,,,,,,,,,,,
110,Module 3. Sáng tạo nội du,3,4,Phông chữ (font) có được bảo hộ bả,Chỉ khi được sử dụng trong các tác ph�,"Không, phông chữ là tài sản chung của",Chỉ các phông chữ trả phí mới c,"Có, phông chữ có thể được bảo hộ như một phần mềm ",D,"Có, phông chữ có thể được bảo hộ như một phần mềm ",,,,,,,,,,,,,,,,,,,
111,Module 3. Sáng tạo nội du,3,4,"i�u ki�n ""ShareAlike"" (Chia sẻ tương tự) trong giấy phép Creative Commons y�",Chỉ được chia sẻ tác phẩm trong các cộng đ�,Phải chia sẻ tác phẩm gốc cho ít nhất ha,Phải thích (like) và chia sẻ (share) tác phẩm trên m,Các tác phẩm phái sinh phải được chia sẻ với cù,D,Các tác phẩm phái sinh phải được chia sẻ với cù,,,,,,,,,,,,,,,,,,,
112,Module 3. Sáng tạo nội du,3,4,Lý do chính đáng để tìm nội dung thay ,Nội dung đó đã có quá nhiều ng�,Không thích phong cách của t�,Muốn tìm một nội dung ,Không tìm thấy thông tin giấy phép,D,Không tìm thấy thông tin giấy phép,,,,,,,,,,,,,,,,,,,
113,Module 3. Sáng tạo nội du,3,4,Tư duy của một kỹ sư phần mềm không chỉ �,Viết tài l,Thiết kế giao ,Kiểm thử ph�,Viết co,D,Viết co,,,,,,,,,,,,,,,,,,,
114,Module 3. Sáng tạo nội du,3,4,"Chuẩn đầu ra củ""Lập kế hoạch nội"" là g�",Sinh viên hiểu rõ luật b�,Sinh viên có thể viết code ,Sinh viên biết cách thiết kế một ,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập ",D,"Sinh viên có khả năng phân biệt các loại nội dung số, yêu cầu cập ",,,,,,,,,,,,,,,,,,,
115,Module 3. Sáng tạo nội du,3,4,"Yếu tố nào giúp video ngắn (TikTok, Reels) và video dài (YouTube) có cấu ",Sử dụng nhạc nền th,Sử dụng máy quay chất l�,Thêm nhiều hiệu ứng �,"Kịch bản có mở đầu, phát tri�",D,"Kịch bản có mở đầu, phát tri�",,,,,,,,,,,,,,,,,,,
116,Module 3. Sáng tạo nội du,3,4,Việc so sánh thiết kế khung nội dung với việc xây nhà cần bản vẽ chi ti,Sự linh hoạt và khả năng thay đổi trong quá tr�,Sự tốn kém và phức tạp của việ,Sự cần thiết của việc có mộ,Tầm quan trọng của việc lập kế hoạch để đảm bảo ,D,Tầm quan trọng của việc lập kế hoạch để đảm bảo ,,,,,,,,,,,,,,,,,,,
117,Module 3. Sáng tạo nội du,3,4,Tông giọng (tone of voice) trong nội dung cần phải phù hợp v�,Quy định của nền tảng,Sở thích cá nhân của ngườ,Xu hướng đang thịnh hành trên m�,Thương hiệu/mục tiêu và đố,D,Thương hiệu/mục tiêu và đố,,,,,,,,,,,,,,,,,,,
118,Module 3. Sáng tạo nội du,3,4,Logo không chỉ được bảo hộ bởi luật bản quyền m,Luật báo ,Luật cạnh t,Luật quảng,Luật sở hữu trí tuệ v�,D,Luật sở hữu trí tuệ v�,,,,,,,,,,,,,,,,,,,
119,Module 3. Sáng tạo nội du,3,4,Nội dung số được coi là có giá t,Khi có nhiều lư�,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc",Khi nội dung ngắn,Khi chứa nhiều từ kh,B,"Khi mang lại giá trị thực như giải trí, truyền cảm hứng, hoặc",,,,,,,,,,,,,,,,,,,
120,Module 3. Sáng tạo nội du,3,3,"Khi sản xuất nội dung số, yếu tố nào quan trọng nhất trong việ",Sống gần cô,Khả năng sáng tạo nội dung phù hợp nền tảng,Giọng nói truyề,Có bằng cấ,B,Khả năng sáng tạo nội dung phù hợp nền tảng,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
